;Worldwide Navaid Database for PSS
;Exported via DFD v1.0 13.0401
;Software copyright (c) 2013 Richard Stefan, NAVData-Service
;Support available via forum at http://forum.navigraph.com
;
;Data provided by Navigraph - www.navigraph.com
;This data is copyrighted and may not be used, recompiled, interpreted or
;distributed for any purpose without the written consent
;of Navigraph.
;
;The contents of this database is dated and must not be
;used for real world navigation as it is unlawful and
;unsafe to do so.
;
;------------------------------------------------------
;AIRAC Cycle : 1304 (04/APR/2013 - 01/MAY/2013) - Ver.1
;------------------------------------------------------
01ID  42.608250-112.032461 5268  ;LAVA HOT SPRINGS
01NK  43.425000 -73.261944 421   ;GRANVILLE
01WI  44.010000 -90.389167 930   ;PREHN CRANBERRY COMPANY
06FA  26.908153 -80.328414 28    ;GWINN
06WN  46.924986-122.553039 394   ;WESTERN
07FA  25.325392 -80.274775 8     ;OCEAN REEF CLUB
07MT  48.421108-106.527703 2762  ;GLASGOW INDUSTRIAL
0TE7  30.251814 -98.622531 1515  ;LBJ RANCH
0XA4  27.997111 -98.882861 336   ;SEVEN CS RANCH
0XA5  28.685383 -98.383117 317   ;74 RANCH
12LS  30.178611 -92.285000 20    ;HAINS
12NK  44.158386 -73.432906 276   ;WESTPORT
14ME  44.792570 -69.070322 340   ;RING HILL
17AR  34.533428 -92.100144 233   ;BREDLOW FARM
17FL  29.280253 -82.124814 100   ;JUMBOLAIR-GREYSTONE
17NK  42.462500 -76.965834 1351  ;RE-DUN
17XS  32.177778 -98.435000 1422  ;QUAHADI RANCH
18AZ  33.818095-111.897925 2568  ;SKY RANCH AT CAREFREE
1CO5  38.015286-103.699117 4260  ;MELON
1TX4  29.273342 -95.886903 100   ;NEW GULF
1VA1  36.736133 -80.445408 2964  ;MICRO
1XA2  28.360000 -97.660000 190   ;CHASE INDUSTRIAL
1XA4  29.873839 -96.004400 161   ;MIKESKA
20GA  33.756556 -84.885064 1110  ;EARL L. SMALL JR. FIELD/STOCKM
21FA  28.298342 -80.718664 27    ;ROCKLEDGE
23VT  43.221464 -72.712872 1750  ;NORTH WINDHAM
25TS  36.091700-102.415745 3961  ;MILLER
2CN4  35.666389-119.896389 617   ;PARAMOUNT FARMS
2MI5  42.941697 -85.486411 660   ;SOMERVILLE
2NR2  34.457778 -78.618333 93    ;ELKINS FIELD
2SC8  33.786820 -81.094817 460   ;GASTON
2TA8  26.858278 -98.221750 182   ;EL COYOTE RANCH
2VG2  38.971775 -77.869717 558   ;UPPERVILLE
2XA0  33.979250 -99.712872 1479  ;FOARD CO
2XS2  28.263386-100.162772 758   ;INDIO-FAITH
31CD  37.869750-104.789806 2563  ;DIAMOND STAR RANCH
31VA  37.020767 -76.588617 33    ;ABERDEEN FIELD
37XA  29.992039 -95.930639 235   ;SKYDIVE HOUSTON
38AZ  36.471736-110.417903 6581  ;BEDARD FIELD
38CA  35.691611-119.488722 225   ;CASHEN
38WV  39.325000 -78.425000 810   ;RIVERS EDGE FARM
38XS  26.815214 -98.479306 313   ;SAN RAFAEL RANCH
3MS9  32.580695 -89.136169 512   ;UNION MUN
3NJ1  39.982059 -74.692658 65    ;PEMBERTON
3NR3  35.270278 -82.644167 2110  ;TRANSYLVANIA COUNTY
3PN7  41.747861 -75.497406 1950  ;STAHLS MOUNTAIN
40AR  36.396572 -93.909786 1440  ;LOST BRIDGE VILLAGE
4AK6  61.640970-149.288750 572   ;WOLF LAKE
4FL5  27.755278 -81.599722 140   ;RIDGE LANDING
4KS5  37.765567 -97.435878 1336  ;MAIZE
4LA3  30.807778 -91.213333 204   ;JACKSON
4MO1  39.012639 -91.419472 778   ;MONTGOMERY-WEHRMAN
5AZ3  33.212500-111.617222 1450  ;PEGASUS
5KY3  36.967531 -88.565270 338   ;WEST KENTUCKY
5KY4  36.802778 -87.176389 665   ;STANDARD
5MD1  39.417686 -76.678997 291   ;BROOKLANDVILLE HELIPORT
5NC2  35.984861 -80.511417 731   ;SUGAR VALLEY
5TE0  28.627764-100.161686 734   ;COMANCHE RANCH
62AL  30.683525 -88.371956 150   ;SKYWEST AIRPARK
64OG  44.493436-119.843686 3908  ;ANTONE RANCH
65NK  42.729520 -74.164017 1130  ;APEX
68IS  42.148600 -88.561947 860   ;CASA DE AERO PARK
68MI  42.146389 -83.791945 820   ;SALINE
6FL8  29.587556 -82.871250 64    ;AMES
6TE6  33.641492-100.347508 1777  ;6666 RANCH
6TE9  32.816803 -94.616870 360   ;MC KENZIE
74TE  32.061389 -97.794833 960   ;FLAT TOP RANCH
75OA  39.941959 -83.205278 928   ;DARBY DAN
76LS  30.956209 -90.546725 251   ;COOL CREEK
79VG  37.665278 -79.812417 1200  ;PERKEY
7FL6  29.080189 -81.046631 24    ;SPRUCE CREEK
7KS9  37.848900 -97.510045 1379  ;EAGLE FIELD
7TX0  33.828184 -98.572750 986   ;DANAHER
81XA  35.080236-101.756253 3582  ;RIVER FALLS
82IS  42.143242 -88.403314 888   ;LANDINGS
82MI  43.112531 -84.520822 700   ;RANDOLPHS LANDING AREA
82TS  32.450125 -99.650364 1775  ;ELMDALE
84KS  39.272500 -96.061389 1220  ;ST MARYS
85NK  42.154228 -79.016431 1666  ;CAMPBELL
86KS  38.786889-100.419845 2540  ;COBERLY
89GE  33.537611 -84.638820 1025  ;SOUTH FULTON
89NY  44.316717 -75.899672 340   ;MAXSON AIRFIELD
89TS  31.566872 -95.766672 215   ;CARTER RANCH
8GA9  33.273333 -84.411667 820   ;BROOKBRIDGE
8MN3  46.595833 -94.220000 1255  ;BREEZY POINT
90NY  42.919509 -77.242778 730   ;HOPEWELL
95WI  42.936111 -89.129722 965   ;WISERSKY
9IS0  40.543097 -91.330706 670   ;CEDER RIDGE
9IS2  40.482167 -88.267556 758   ;SCHERTZ
9KY9  37.745931 -82.779050 624   ;PAINTSVILLE-PRESTONSBURG-COMBS
AGAT  -8.873334 161.011500 17    ;ATOIFI
AGGA  -8.702686 160.681697 29    ;AUKI
AGGB -11.295000 159.796667 40    ;BELLONA
AGGC  -6.712033 156.396195 5     ;CHOISEUL
AGGE  -6.983334 155.885000 6     ;BALLALAE
AGGF  -8.107461 159.577114 9     ;MARINGE
AGGH  -9.421667 160.051667 30    ;HONIARA INTL /HENDERSON FIELD
AGGI  -9.747761 159.839661 74    ;BABANAKIRA
AGGJ  -9.868178 160.410392 27    ;AVU AVU
AGGK -10.441667 161.896667 8     ;KIRAKIRA
AGGL -10.713333 165.793333 11    ;SANTA CRUZ/GRACIOSA BAY/LUOVO
AGGM  -8.320000 157.261667 9     ;MUNDA
AGGN  -8.091667 156.863334 14    ;GIZO
AGGO  -7.415000 155.566667 35    ;MONO/STIRLING ISLAND
AGGP  -9.643611 161.428222 100   ;PARASI
AGGQ  -5.506667 159.526667 5     ;ONTONG JAVA
AGGR -11.560000 160.061667 82    ;RENNELL/TINGOA
AGGS  -8.578475 157.875670 5     ;SEGHE
AGGT -10.848347 162.454556 132   ;SANTA ANNA
AGGU  -9.864250 160.822567 3     ;MARAU/PARURU
AGGV  -7.583333 158.733333 20    ;SUAVANAO
AGGY  -9.093833 159.218333 66    ;YANDINA/RUSSELL ISLANDS
AGKG  -7.331667 157.586667 10    ;KAGHAU
AGRC  -8.118333 157.141667 26    ;RINGICOVE
AK33  55.802222-160.897222 20    ;HERENDEEN BAY
AK71  70.910745-153.242214 17    ;LONELY AS
AK75  65.907659-161.926306 15    ;CANDLE NO 2
AL05  32.221336 -85.471783 331   ;SEHOY
AL44  32.968181 -87.640564 162   ;MOUNDVILLE
ANYN  -0.546667 166.916667 22    ;NAURU INTL
AYAO  -5.145700 144.730700 346   ;AIOME
AYBK  -5.422245 154.672775 8     ;BUKA
AYBL  -5.327900 151.004333 7     ;BIALLA
AYBM  -8.052150 142.940584 42    ;BALIMO
AYBU  -7.221183 146.651250 2193  ;BULOLO
AYCG  -5.450000 148.441667 78    ;CAPE GLOUCESTER
AYCH  -6.024000 144.970650 4974  ;CHIMBU
AYDU  -9.086906 143.207881 20    ;DARU
AYEE  -1.653950 149.975767 101   ;EMIRAU
AYEH  -8.715367 141.648850 57    ;MOREHEAD
AYEV  -6.608333 143.900000 3400  ;ERAVE
AYFI  -6.621750 147.854050 25    ;FINSCHHAFEN
AYGA  -6.082778 145.390556 5208  ;GOROKA
AYGB  -6.877828 143.721872 181   ;GOBE
AYGI  -7.881384 147.147033 2501  ;GARAINA
AYGJ  -9.224833 152.943800 -3    ;GUASOPA
AYGL  -5.527717 151.573333 3     ;GONALI
AYGN -10.310425 150.334111 65    ;GURNEY
AYGP  -6.058117 145.964050 1506  ;GUSAP
AYGR  -8.804495 148.308972 300   ;GIRUA
AYGV  -3.900467 141.177767 267   ;GREEN RIVER
AYHF  -3.701700 143.057933 431   ;HAYFIELD
AYHK  -5.461667 150.402222 27    ;HOSKINS
AYIA  -4.496333 154.224950 30    ;NISSAN
AYIX  -4.687667 149.435933 4     ;WITU
AYJB  -5.656500 151.507517 211   ;JACQUINOT BAY
AYJS  -4.749400 145.005283 223   ;JOSEPHSTALL
AYKA  -8.506283 151.080933 14    ;KIRIWINA
AYKC  -6.198633 149.548333 368   ;KANDRIAN
AYKI  -6.125197 141.282386 97    ;KIUNGA
AYKK  -7.424656 144.250064 40    ;KIKORI
AYKM  -7.963650 145.771350 10    ;KEREMA
AYKO  -8.888084 147.730533 1273  ;KOKODA
AYKV  -2.578983 150.807428 13    ;KAVIENG
AYKW  -7.980484 142.823900 44    ;KAWITO
AYKY  -3.043817 152.629283 167   ;KUNAYE
AYMC  -7.216483 146.019850 3835  ;MENYAMYA
AYMD  -5.209167 145.787500 11    ;MADANG
AYMH  -5.828917 144.300533 5363  ;MOUNT HAGEN
AYMN  -6.148222 143.657161 5680  ;MENDI
AYMO  -2.064167 147.423889 12    ;MOMOTE
AYMR  -6.363128 143.238317 2741  ;MORO
AYMS -10.689058 152.837559 20    ;MISIMA
AYMV  -4.022417 153.656617 6     ;MALEKOLON
AYNN  -5.840950 143.511533 7728  ;KANDEP
AYNR  -6.293083 142.237250 290   ;NOMAD RIVER
AYNX  -3.672767 152.440583 139   ;NAMATANAI
AYNZ  -6.567222 146.724722 230   ;NADZAB
AYOY  -4.798733 151.694317 7     ;OPEN BAY
AYPY  -9.443889 147.215833 126   ;JACKSONS
AYRI  -6.494700 144.826734 3666  ;KARIMUI
AYRK  -8.817000 146.524383 35    ;KAIRUKU
AYSD  -5.624067 146.459150 89    ;SAIDOR
AYSE  -2.662500 151.998334 10    ;SIMBERI
AYSF  -9.594967 148.638917 414   ;SAFIA
AYSL  -9.961050 151.162133 4     ;SEHULEA
AYTA  -5.844822 142.947436 5490  ;TARI
AYTB  -5.279839 141.227094 1568  ;TABUBIL
AYTE  -5.129283 141.637367 4909  ;TELEFOMIN
AYTI  -8.358167 146.993834 3151  ;TAPINI
AYTJ  -3.195600 142.424817 15    ;TADJI
AYTK  -4.340422 152.379686 34    ;TOKUA
AYVN  -2.697117 141.302283 22    ;VANIMO
AYWD  -5.635317 143.892317 5889  ;WAPENAMANDA
AYWG  -9.336800 149.152450 56    ;WANIGELA
AYWK  -3.583792 143.669175 19    ;BORAM
AYWQ  -5.875000 155.233333 10    ;WAKUNAI
AYWT  -8.549883 147.255517 5162  ;WOITAPE
BGAA  68.721847 -52.784747 74    ;AASIAAT
BGBW  61.160719 -45.425675 112   ;NARSARSUAQ
BGCO  70.743083 -22.650556 45    ;NERLERIT INAAT
BGGH  64.190922 -51.678064 283   ;NUUK
BGJN  69.243217 -51.057111 95    ;ILULISSAT
BGKK  65.573611 -37.123611 117   ;KULUSUK
BGMQ  65.412464 -52.939420 91    ;MANIITSOQ
BGNO  81.609000 -16.677167 80    ;STATION NORD
BGPT  62.014736 -49.670936 120   ;PAAMIUT
BGQQ  77.488650 -69.388731 51    ;QAANAAQ
BGSF  67.016969 -50.689325 165   ;KANGERLUSSUAQ
BGSS  66.951289 -53.729320 33    ;SISIMIUT
BGTL  76.531203 -68.703161 251   ;THULE AB
BGUK  72.790189 -56.130586 414   ;UPERNAVIK
BGUQ  70.734231 -52.696203 289   ;QAARSUT
BIAR  65.658611 -18.072222 9     ;AKUREYRI
BIBA  63.556111 -20.137500 33    ;BAKKI
BIBD  65.641389 -23.546111 26    ;BILDUDALUR
BIBL  65.645000 -20.287500 131   ;BLONDUOS
BIBV  64.790000 -14.022778 8     ;BREIDDALSVIK
BIEG  65.283333 -14.401389 75    ;EGILSSTADIR
BIGJ  65.995278 -21.326945 90    ;GJOGUR
BIGR  66.554722 -18.017500 81    ;GRIMSEY
BIHK  65.704722 -21.696389 90    ;HOLMAVIK
