;Worldwide Navaid Database for PSS
;Exported via DFD v1.0 13.0401
;Software copyright (c) 2013 Richard Stefan, NAVData-Service
;Support available via forum at http://forum.navigraph.com
;
;Data provided by Navigraph - www.navigraph.com
;This data is copyrighted and may not be used, recompiled, interpreted or
;distributed for any purpose without the written consent
;of Navigraph.
;
;The contents of this database is dated and must not be
;used for real world navigation as it is unlawful and
;unsafe to do so.
;
;------------------------------------------------------
;AIRAC Cycle : 1304 (04/APR/2013 - 01/MAY/2013) - Ver.1
;------------------------------------------------------
1A    52.558889 -55.782222  373.00 ;WILLIAMS HARBOUR
1B    43.930556 -60.022778  277.00 ;SABLE ISLAND
1D    52.775411 -56.125961  346.00 ;CHARLOTTETOWN
1E    53.467128 -55.788664  349.00 ;BLACK TICKLE
1F    47.630583 -65.744592  363.00 ;BATHURST
1L    57.280661-110.972234  400.00 ;FORT MACKAY/FIREBAG
1N    56.159722-113.472222  311.00 ;PELICAN
1U    54.031667-132.127222  278.00 ;MASSET
1W    55.543333-102.275556  412.00 ;SANDY BAY
2A    56.793950 -98.904347  330.00 ;SOUTH INDIAN LAKE
2BD   24.833334  53.600000  373.00 ;ZAKUM
2H    49.037222 -77.020833  261.00 ;LEBEL-SUR-QUEVILLON
2J    49.017500-118.423611  250.00 ;GRAND FORKS
2K    53.032222-112.813333  405.00 ;CAMROSE
2M    52.603056 -90.374445  393.00 ;OPAPIMISKAN LAKE
2Q    46.602508 -75.470681  373.00 ;MONT-LAURIER
2S    55.395556-116.484445  406.00 ;HIGH PRAIRIE
2T    47.715000 -64.885834  329.00 ;POKEMOUCHE
2U    55.305178-123.137333  284.00 ;MACKENZIE
2Z    64.509583-110.309861  382.00 ;DIAVIK
3B    44.701389 -75.700000  391.00 ;BROCKVILLE
3D    53.957222-102.297222  398.00 ;CUMBERLAND HOUSE
3F    55.483889-107.930834  384.00 ;ILE-A-LA CROSSE
3H    52.022778-110.745556  276.00 ;CONSORT
3M    53.266389-114.955000  385.00 ;DRAYTON VALLEY
3N    49.696400-103.803575  298.00 ;WEYBURN
3R    54.907475 -59.795264  366.00 ;POSTVILLE
3U    45.519039 -75.564245  414.00 ;GATINEAU
3Y    55.710556-117.099444  234.00 ;DONNELLY
3Z    49.825834-112.176111  388.00 ;TABER
3Z    50.764167-101.296389  263.00 ;RUSSELL
4A    64.698056-110.609167  350.00 ;KOALA
4B    52.044275 -95.462906  280.00 ;LITTLE GRAND RAPIDS
4D    59.421389-120.789445  364.00 ;HELMET
4G    54.610836 -97.766314  353.00 ;CROSS LAKE
4K    53.844931 -94.849614  362.00 ;ST THERESA POINT
4L    42.312217 -82.077783  236.00 ;CHATHAM
4M    54.169092 -93.563025  399.00 ;RED SUCKER LAKE
4N    54.928717 -95.282342  386.00 ;OXFORD HOUSE
4O    54.675000-115.424445  251.00 ;SWAN HILLS
4Q    57.885970-101.678950  347.00 ;BROCHET
4T    55.859331 -92.085961  280.00 ;SHAMATTAWA
4V    58.618333-101.470278  371.00 ;LAC BROCHET
4W    56.037500 -96.515278  391.00 ;KELSEY
5B    46.396945 -63.881667  254.00 ;SUMMERSIDE
5F    54.378611-116.751667  353.00 ;FOX CREEK
5J    52.074444-111.448333  328.00 ;CORONATION
5O    54.841861 -94.069111  350.00 ;GODS RIVER
5Q    54.560000 -71.171111  239.00 ;FONTANGES
5U    58.402500-115.951111  261.00 ;FORT VERMILION
5V    51.502500-112.750833  395.00 ;DRUMHELLER
5W    56.511667 -99.983889  226.00 ;LEAF RAPIDS
5Y    45.612145 -62.624811  338.00 ;TRENTON
6E    44.715556 -66.802222  387.00 ;GRAND MANAN
6F    52.520278 -56.295000  367.00 ;PORT HOPE SIMPSON
6K    50.350000-119.260000  302.00 ;VERNON
6P    58.551945-118.918056  291.00 ;MOBIL 1128 RAINBOW LAKE
6Q    58.069722-104.538611  222.00 ;CIGAR LAKE
6X    56.087806 -96.093511  339.00 ;YORK LANDING
6Z    56.478333-109.400833  410.00 ;LA LOCHE
7B    42.771364 -81.105208  375.00 ;SAINT THOMAS
7C    49.661667 -54.245278  237.00 ;FOGO
7D    52.847778-102.186667  337.00 ;HUDSON BAY
7F    58.228889-103.683056  400.00 ;COLLINS BAY
7H    47.137500 -55.324167  234.00 ;MARYSTOWN
7J    52.576389-112.086111  261.00 ;FORESTBURG
7L    48.910556 -79.178889  405.00 ;LA SARRE
7N    61.018611-123.385000  208.00 ;NAHANNI BUTTE
7P    48.708333 -80.736111  382.00 ;IROQUOIS FALLS
7V    53.321111-117.753889  233.00 ;JASPER-HINTON
8A    49.645556-102.281111  310.00 ;CARLYLE
8C    56.075278-118.439167  295.00 ;FAIRVIEW
8H    53.991945-111.390556  375.00 ;ST. PAUL
8K    55.034444-117.288611  229.00 ;VALLEYVIEW
8M    53.890278-110.768056  414.00 ;ELK POINT
8N    53.580922-116.454947  393.00 ;EDSON
9A    51.627778-111.900834  221.00 ;HANNA
9G    51.780000-114.683333  405.00 ;SUNDRE
9H    53.573797 -76.200831  235.00 ;LA GRANDE 3
9Q    48.557500 -78.243056  291.00 ;AMOS
9X    50.632222-111.921667  227.00 ;BROOKS
9Y    49.523333-113.998611  311.00 ;PINCHER CREEK
A    -34.841639 -58.522333  237.00 ;EZEIZA INTL MINISTRO PISTARINI
A     18.305278 109.440261  373.00 ;SANYA
A     30.074000  31.359445  490.00 ;ALMAZA
A     30.605000 103.960000  286.00 ;SHUANGLIU CHENGDU
A     31.985000 118.793333  511.00 ;DAJIAOCHANG
A     34.509211 113.867259  211.00 ;XINZHENG ZHENGZHOU
A     37.993334  58.333333  829.00 ;ASHGABAT
A     40.711667  72.273333  860.00 ;ANDIZHAN
A     43.368333  77.073889  763.00 ;ALMATY
A     43.872222  51.065556  326.00 ;AKTAU
A     47.055831  37.438103  380.00 ;MARIUPOL INTL
A     47.105417  20.225667  422.00 ;SZOLNOK
A     47.455056  19.210500  343.00 ;BUDAPEST
A     47.847778  35.303056  608.00 ;MOKRAYA ZAPORIZHZHIA
A     50.262500  57.180833  400.00 ;AKTOBE
A     50.651667  36.566667  350.00 ;BELGOROD
A     51.040556  71.495556  654.00 ;ASTANA
A     51.803333  39.253333  595.00 ;CHERTOVITSKOYE VORONEZH
A     53.371722  83.573722  865.00 ;BARNAUL
A     53.484695  50.188972  588.00 ;KURUMOCH SAMARA
A     53.723500  91.372333  733.00 ;ABAKAN
A     55.550889  52.066444  749.00 ;BEGISHEVO
A     55.980570  37.459014  338.00 ;SHEREMETYEVO MOSCOW
A     56.183333  92.448889  685.00 ;KRASNOYARSK
A     61.343972  73.447222  668.00 ;SURGUT
A     64.602500  40.672222  334.00 ;TALAGI ARKHANGELSK
A     67.124972  20.849361  310.00 ;GALLIVARE
A     69.290000  87.295000  260.00 ;ALYKEL NORILSK
A2    54.423611-117.741111  280.00 ;SIMONETTE
A5    57.545000-119.111389  317.00 ;CHINCHAGA
A9    44.226944 -64.858611  330.00 ;LIVERPOOL
AA   -17.356389-145.509111  332.50 ;ANAA
AA    -9.083333 124.906667  300.00 ;ATAMBUA
AA     0.500000 173.850000  396.00 ;ABEMAMA
AA     5.676183  -0.137808  409.00 ;ACCRA
AA    16.691667  -9.600000  310.00 ;AIOUN-EL-ATROUSS
AA    33.533278 -82.614389  341.00 ;CEDAR THOMSON
AA    35.633667  51.417750  397.00 ;ALI ROMINA TEHRAN
AA    47.009306 -96.815195  365.00 ;KENIE FARGO
AA    68.723147 -52.784825  336.00 ;AASIAAT
AAA   40.160117 -89.338017  329.00 ;ABRAHAM LINCOLN
AAF   29.723314 -85.028064  349.00 ;APALACHICOLA
AAQ  -21.812989 -48.139536  205.00 ;ARARAQUARA
AAU   40.963334 -82.253356  329.00 ;ASHLAND
AB     8.997372  38.862572  333.00 ;ADDIS ABEBA
AB    13.845278  20.845556  350.00 ;ABECHE
AB    31.456145 -84.276164  227.00 ;PUTNY ALBANY
AB    32.298883 -99.674189  353.00 ;TOMHI ABILENE
AB    43.912556   2.064500  323.00 ;ALBI
AB    45.386006 -98.328358  203.00 ;RENEY ABERDEEN
AB    47.288539  11.501675  313.00 ;ABSAM
AB    53.701195  91.355056  360.00 ;ABAKAN
AB    59.950417  13.585833  393.00 ;HAGFORS
ABA  -34.952222 117.810556  240.00 ;ALBANY
ABD   30.371111  48.219722  210.00 ;ABADAN
ABD   33.335286  36.428189  264.00 ;ABYAD DAMASCUS
ABG   32.585495 -95.113119  404.00 ;AMBASSADOR BIG SANDY
ABM   25.878056  55.022944  285.00 ;ABUMUSA
ABN   44.055972   8.221000  420.00 ;ALBENGA
ABT   38.944084  -1.997500  321.00 ;ALBACETE
ABU   50.993775  12.521039  330.00 ;ALTENBURG
ABY   49.976250   2.809417  321.00 ;ALBERT BRAY
AC    10.939103 107.188444  320.00 ;ANLOC
AC    41.311278 -69.986750  248.00 ;WAIVS NANTUCKET
AC    43.860834 -66.043611  230.00 ;PLEASANT LAKE YARMOUTH
ACE   59.641333-151.500275  277.00 ;KACHEMAK HOMER
ACJ   32.112108 -84.186853  242.00 ;SOUTHER AMERICUS
ACO  -16.243611 -73.578611  202.00 ;ATICO
AD    -0.349161 102.335545  280.00 ;RENGAT
AD    12.870278  45.005556  361.00 ;ADEN
AD    38.005000  58.306667  407.00 ;ASHGABAT
AD    43.454778  39.960778  365.00 ;SOCHI
AD    43.754417  20.664278  387.00 ;KRALJEVO
AD    55.986334  37.500000  700.00 ;SHEREMETYEVO MOSCOW
AD    61.829567   6.115939  288.00 ;ANDA SANDANE
ADA  -22.822961 -42.096489  345.00 ;ALDEIA SAO PEDRO DA-
ADC   43.245972   5.805167  366.00 ;LE CASTELLET
ADF   34.055606 -93.105203  275.00 ;ARKADELPHIA
ADG   41.869981 -84.077481  278.00 ;ADRIAN
ADK   51.871897-176.676008  530.00 ;MOUNT MOFFETT
ADN   36.970889  35.261611  395.00 ;ADANA
ADO  -47.733333 -65.909445  210.00 ;PUERTO DESEADO
ADR   27.833389  -0.194778  340.00 ;ADRAR
ADU   41.688722 -94.909836  266.00 ;AUDUBON
ADV   78.176808  16.012508  326.00 ;ADVENT SVALBARD
ADX   39.549445   2.395861  384.00 ;ANDRAITX
AE    35.217372-106.712795  351.00 ;DUDLE ALBUQUERQUE
AEA   36.614556 -78.053172  373.00 ;SOUTH HILL
AES   62.965778-141.888306  390.00 ;NABESNA NORTHWAY
AEY   36.116172 -87.741292  329.00 ;WAVERLY
AF   -27.570000 153.016667  419.00 ;ARCHERFIELD BRISBANE
AFE   56.963917-133.911889  223.00 ;KAKE
AFK   40.605361 -95.860956  347.00 ;NEBRASKA CITY
AFO    5.408333  -2.916667  393.00 ;AFIENOU
AFS  -22.866972 -43.366867  270.00 ;AFONSOS RIO DE JANEIRO
AG     1.423333 103.823333  325.00 ;SEMBAWANG SINGAPORE
AG     9.035028   7.283111  321.00 ;NNAMDI AZIKIWE INTL ABUJA
AG    27.150194  77.965306  249.50 ;AGRA
AG    31.961586 118.752361  248.00 ;NANJING
AG    33.286950 -81.946884  233.00 ;BUSHE AUGUSTA
AG    33.286956 -81.946884  233.00 ;BUSHE AUGUSTA
AG    44.139444  39.026667  381.00 ;AGOY
AG    44.150694   0.673722  400.00 ;AGEN
AGB   48.424297  10.933095  318.00 ;AUGSBURG
AGG  -10.366667  56.600000  429.00 ;AGALEGA
AGH   27.642331 -99.458078  405.00 ;ARDYTH LAREDO
AGI   -7.233333 -48.238333  205.00 ;ARAGUAINA
AGN  -12.152667 -38.389500  310.00 ;ALAGOINHAS
AGO   45.710722   0.426889  404.00 ;ANGOULEME
AGU  -19.822778 -63.961945  305.00 ;MONTEAGUDO
AGZ   43.063392 -98.293170  392.00 ;WAGNER
AH   -14.998917  50.317917  321.00 ;ANTALAHA
AH    23.141389  72.699667  215.00 ;AHMEDABAD
AH    40.699028   8.330945  337.00 ;FERTILIA ALGHERO
AH    56.266139  12.900722  417.00 ;ANGELHOLM
AHQ   41.239169 -96.598361  400.00 ;WAHOO
AHX   32.159319 -95.830242  269.00 ;ATHENS
AI   -18.824722-159.773333  320.00 ;AITUTAKI
AI    -8.701389 160.680833  360.00 ;AUKI
AI    -1.281383 -44.903284  320.00 ;SAO JOAO
AI     4.849034   8.082200  273.00 ;AKWA IBOM
AI    34.232342 -96.933109  400.00 ;ADDMO ARDMORE
AI    38.296167  -0.660000  330.00 ;ALICANTE
AI    40.069611 -85.510806  394.00 ;VIDEO ANDERSON
AIG   45.158308 -89.113342  347.00 ;ANTIGO
AIK   33.651800 -81.676972  347.00 ;AIKEN
AIO   41.403978 -95.046258  365.00 ;ATLANTIC
