;Worldwide Navaid Database for PSS
;Exported via DFD v1.0 13.0401
;Software copyright (c) 2013 Richard Stefan, NAVData-Service
;Support available via forum at http://forum.navigraph.com
;
;Data provided by Navigraph - www.navigraph.com
;This data is copyrighted and may not be used, recompiled, interpreted or
;distributed for any purpose without the written consent
;of Navigraph.
;
;The contents of this database is dated and must not be
;used for real world navigation as it is unlawful and
;unsafe to do so.
;
;------------------------------------------------------
;AIRAC Cycle : 1304 (04/APR/2013 - 01/MAY/2013) - Ver.1
;------------------------------------------------------
01ID 14   42.611000-112.034867 156 00882
01ID 32   42.603733-112.030533 336 00882
01NK 16   43.425000 -73.261944 145 00762
01NK 34   43.425000 -73.261944 325 00762
01WI 01   44.000064 -90.387238 010 00701
01WI 19   44.000128 -90.387220 190 00701
06FA 09   26.908153 -80.338420 090 02135
06FA 27   26.908156 -80.318408 270 02135
06WN 09   46.925831-122.556397 110 00867
06WN 27   46.923697-122.547939 290 00867
07FA 04   25.319868 -80.269455 037 01372
07FA 22   25.319967 -80.269381 217 01372
07MT 10   48.430342-106.551786 120 04115 108.50 106
07MT 28   48.415275-106.512558 300 04115 111.70 286
0TE7 17   30.260439 -98.623375 179 01917
0TE7 35   30.243203 -98.621703 359 01917
0XA4 15   28.003256 -98.886356 153 01524
0XA4 33   27.990970 -98.879367 333 01524
0XA5 14   28.689733 -98.386642 144 01185
0XA5 32   28.681036 -98.379595 324 01185
12LS 01   30.178611 -92.285000 014 00640
12LS 19   30.178611 -92.285000 194 00640
12NK 01   44.158386 -73.432906 355 00823
12NK 19   44.158386 -73.432906 175 00823
14ME 16   44.792570 -69.070322 142 00335
14ME 34   44.792570 -69.070322 322 00335
17AR 18   34.555555 -92.084248 183 00671
17AR 36   34.555492 -92.084256 363 00671
17FL 18   29.286210 -82.117897 177 02301
17FL 36   29.269333 -82.117886 357 02301
17NK 17   42.462500 -76.965834 158 00853
17NK 35   42.462500 -76.965834 338 00853
17XS 01   32.170600 -98.438156 020 01919
17XS 19   32.185881 -98.431531 200 01919
18AZ 06   33.824834-111.909054 073 01230
18AZ 24   33.824861-111.892254 253 01230
1CO5 08   38.015286-103.699117 090 01152
1CO5 18   38.015286-103.699117 190 00762
1CO5 26   38.015286-103.699117 270 01152
1CO5 36   38.015286-103.699117 370 00762
1TX4 15   29.278875 -95.889278 159 01311
1TX4 33   29.267806 -95.884528 339 01311
1VA1 08   36.733967 -80.453539 072 01530
1VA1 26   36.738297 -80.437275 252 01530
1XA2 13L  28.360000 -97.660000 134 02438
1XA2 13R  28.360000 -97.660000 134 02438
1XA2 17   28.360000 -97.660000 174 02438
1XA2 31L  28.360000 -97.660000 314 02438
1XA2 31R  28.360000 -97.660000 314 02438
1XA2 35   28.360000 -97.660000 354 02438
1XA4 15   29.873839 -96.004400 156 00600
1XA4 33   29.873839 -96.004400 336 00600
20GA 10   33.756767 -84.892461 092 01372
20GA 28   33.756345 -84.877664 272 01372
21FA 18   28.303005 -80.723858 177 00613
21FA 36   28.286282 -80.723851 357 00613
23VT 09   43.221464 -72.712872 075 00692
23VT 27   43.221464 -72.712872 255 00692
25TS 17   36.091700-102.415745 180 01981
25TS 35   36.091700-102.415745 360 01981
2CN4 16   35.666389-119.896389 173 01525
2CN4 34   35.666389-119.896389 353 01525
2MI5 09   42.941697 -85.486411 086 00930
2MI5 27   42.941697 -85.486411 266 00930
2NR2 01   34.457778 -78.618333 001 00610
2NR2 19   34.457778 -78.618333 181 00610
2SC8 11   33.786820 -81.094817 105 01021
2SC8 29   33.786820 -81.094817 285 01021
2TA8 13   26.863289 -98.228067 132 01676
2TA8 31   26.853267 -98.215431 312 01676
2VG2 13   38.975170 -77.877647 122 01554
2VG2 31   38.968103 -77.862161 302 01554
2XA0 17   33.979250 -99.712872 178 00975
2XA0 35   33.979250 -99.712872 358 00975
2XS2 15   28.269844-100.166108 155 01574
2XS2 33   28.256928-100.159436 335 01574
31CD 04   37.869750-104.789806 048 01524
31CD 22   37.869750-104.789806 228 01524
31VA 02   37.012261 -76.591092 012 01805
31VA 20   37.028133 -76.586675 192 01805
37XA 17   29.992039 -95.930639 176 01277
37XA 35   29.992039 -95.930639 356 01277
38AZ 02   36.463231-110.425103 034 02286
38AZ 20   36.480239-110.410703 214 02286
38CA 15   35.691611-119.488722 165 01219
38CA 33   35.691611-119.488722 345 01219
38WV 04   39.325000 -78.425000 030 00457
38WV 22   39.325000 -78.425000 210 00457
38XS 14   26.822297 -98.484025 149 01829
38XS 32   26.808131 -98.474583 329 01829
3MS9 10   32.580695 -89.136169 102 00777
3MS9 28   32.580695 -89.136169 282 00777
3NJ1 04   39.982059 -74.692658 028 00783
3NJ1 22   39.982059 -74.692658 208 00783
3NR3 09   35.270278 -82.644167 085 00885
3NR3 27   35.270278 -82.644167 265 00885
3PN7 02   41.747861 -75.497406 008 00671
3PN7 20   41.747861 -75.497406 188 00671
40AR 13   36.396572 -93.909786 134 00960
40AR 31   36.396572 -93.909786 314 00960
4AK6 06   61.639730-149.286331 085 01158
4AK6 18   61.639768-149.286283 205 00792
4AK6 24   61.639746-149.269452 265 01158
4AK6 36   61.639698-149.303007 385 00792
4FL5 15   27.757605 -81.606035 145 00914
4FL5 33   27.757534 -81.589322 325 00914
4KS5 17   37.765567 -97.435878 177 00640
4KS5 35   37.765567 -97.435878 357 00640
4LA3 15   30.807778 -91.213333 153 00914
4LA3 33   30.807778 -91.213333 333 00914
4MO1 03   39.009769 -91.421445 028 00719
4MO1 21   39.015483 -91.417522 208 00719
5AZ3 08   33.202123-111.622912 092 01524
5AZ3 26   33.202122-111.606108 272 01524
5KY3 04   36.964811 -88.568936 039 00888
5KY3 22   36.969834 -88.562161 219 00888
5KY4 13   36.805556 -87.179722 129 00893
5KY4 31   36.799722 -87.173056 309 00893
5MD1 08   39.417686 -76.678997 069 00366
5MD1 26   39.417686 -76.678997 249 00366
5NC2 02   35.981570 -80.512100 014 00739
5NC2 20   35.988134 -80.510706 194 00739
5TE0 15   28.634300-100.166000 150 01676
5TE0 33   28.621228-100.157372 330 01676
62AL 11   30.683525 -88.371956 111 00752
62AL 29   30.683525 -88.371956 291 00752
64OG 07   44.493436-119.843686 085 01579
64OG 25   44.493436-119.843686 265 01579
65NK 09   42.729520 -74.164017 076 00838
65NK 27   42.729520 -74.164017 256 00838
68IS 09   42.148600 -88.567475 090 00914
68IS 27   42.148600 -88.556420 270 00914
68MI 03   42.146389 -83.791945 024 00507
68MI 09   42.146389 -83.791945 084 00564
68MI 21   42.146389 -83.791945 204 00507
68MI 27   42.146389 -83.791945 264 00564
6FL8 18   29.590903 -82.871259 180 00792
6FL8 36   29.584258 -82.871225 360 00792
6TE6 01   33.634767-100.349850 016 01554
6TE6 19   33.648217-100.345167 196 01554
6TE9 09   32.816803 -94.616870 095 00866
6TE9 27   32.816803 -94.616870 275 00866
74TE 18   32.067133 -97.794264 185 01277
74TE 36   32.055653 -97.795389 365 01277
75OA 09   39.941770 -83.210611 087 01796
75OA 27   39.942278 -83.196339 267 01796
76LS 09   30.956209 -90.546725 090 00762
76LS 27   30.956209 -90.546725 270 00762
79VG 07   37.665278 -79.812417 062 00686
79VG 25   37.665278 -79.812417 242 00686
7FL6 05   29.077372 -81.050694 052 01219
7FL6 23   29.083003 -81.042564 232 01219
7KS9 17   37.858519 -97.505110 179 01097
7KS9 35   37.841780 -97.505102 359 01097
7TX0 17   33.833411 -98.572753 180 01158
7TX0 35   33.822972 -98.572758 360 01158
81XA 04   35.076256-101.762747 045 00975
81XA 17   35.086722-101.754078 180 01383
81XA 22   35.082511-101.755236 225 00975
81XA 35   35.074350-101.754100 360 01383
82IS 13   42.146153 -88.407581 134 00957
82IS 31   42.141067 -88.400117 314 00957
82MI 05   43.112531 -84.520822 045 00663
82MI 23   43.112531 -84.520822 225 00663
82TS 17   32.450125 -99.650364 178 00899
82TS 18   32.450125 -99.650364 188 00997
82TS 35   32.450125 -99.650364 358 00899
82TS 36   32.450125 -99.650364 368 00997
84KS 18   39.272500 -96.061389 184 00766
84KS 36   39.272500 -96.061389 364 00766
85NK 08   42.154228 -79.016431 071 00760
85NK 26   42.154228 -79.016431 251 00760
86KS 18   38.707102 -94.824921 186 01369
86KS 36   38.707027 -94.824928 366 01369
89GE 09   33.537611 -84.638820 088 00820
89GE 27   33.537611 -84.638820 268 00820
89NY 06   44.316717 -75.899672 047 01305
89NY 24   44.316717 -75.899672 227 01305
89TS 18   31.573950 -95.765545 188 01584
89TS 36   31.559795 -95.767797 008 01584
8GA9 02   33.269379 -84.404123 017 00914
