;Worldwide Navaid Database for PSS
;Exported via DFD v1.0 13.0401
;Software copyright (c) 2013 Richard Stefan, NAVData-Service
;Support available via forum at http://forum.navigraph.com
;
;Data provided by Navigraph - www.navigraph.com
;This data is copyrighted and may not be used, recompiled, interpreted or
;distributed for any purpose without the written consent
;of Navigraph.
;
;The contents of this database is dated and must not be
;used for real world navigation as it is unlawful and
;unsafe to do so.
;
;------------------------------------------------------
;AIRAC Cycle : 1304 (04/APR/2013 - 01/MAY/2013) - Ver.1
;------------------------------------------------------
AA   -37.004633 174.813631  114.80 ;AUCKLAND
AAE   23.068167  72.629111  113.10 ;AHMEDABAD
AAL   57.103719   9.995578  116.70 ;AALBORG
AAR   30.908034  41.142178  113.30 ;ARAR
AAR   31.728070  74.785883  115.50 ;AMRITSAR
AAT   23.889556  91.239722  116.10 ;AGARTALA
AAU   19.861086  75.405256  116.30 ;AURANGABAD
ABA   12.505678 -69.943100  112.50 ;ARUBA
ABB   38.588839 -85.635992  112.40 ;NABB
ABB   50.135139   1.854695  108.45 ;ABBEVILLE
ABC    9.037803   7.285103  116.30 ;ABUJA
ABD   -7.932764 112.713111  116.10 ;ABDULRACHMAN MALANG
ABD   30.387028  48.217611  114.50 ;ABADAN
ABH   18.241917  42.656942  112.90 ;ABHA
ABI   11.549211  43.154819  114.60 ;DJIBOUTI
ABI   32.481328 -99.863456  113.70 ;ABILENE
ABK   53.745556  91.384722  113.30 ;ABAKAN
ABL    4.783820 -74.767586  112.70 ;AMBALEMA
ABQ   35.043794-106.816311  113.20 ;ALBUQUERQUE
ABR   45.417356 -98.368720  113.00 ;ABERDEEN
ABU   32.462833  13.169508  115.10 ;ABU ARGUB
ABV  -28.570653  16.533833  112.10 ;ALEXANDER BAY
ACA   16.758472 -99.753964  115.90 ;ACAPULCO
ACC    5.634117  -0.155344  113.10 ;ACCRA
ACH   35.111706-105.039928  117.80 ;ANTON CHICO
ACK   41.281886 -70.026711  116.20 ;NANTUCKET
ACO   41.107903 -81.201519  114.40 ;AKRON
ACT   31.662333 -97.269028  115.30 ;WACO
ACV   40.981442-124.108317  110.20 ;ARCATA
ACY   39.455875 -74.576314  108.60 ;ATLANTIC CITY
AD   -34.946978 138.524531  116.40 ;ADELAIDE
AD     5.282814  -3.916975  114.30 ;ABIDJAN
ADA  -22.812811 -42.095433  112.10 ;ALDEIA SAO PEDRO DA
ADA   36.940584  35.210389  112.70 ;ADANA
ADH   34.802556 -96.670083  117.80 ;ADA
ADL   43.454472  39.962111  112.70 ;SOCHI
ADM   22.510250  57.360667  115.55 ;ADAM
ADM   30.321945  -9.383472  117.20 ;AL-MASSIRA AGADIR
ADM   34.211586 -97.168228  116.70 ;ARDMORE
ADN   25.865442-100.238794  115.40 ;ROBERTO MONTERRY
ADN   57.310450  -2.267208  114.30 ;ABERDEEN
ADR   27.817039  -0.205867  112.60 ;ADRAR
ADS    8.975042  38.799400  112.90 ;ADDIS ADDIS ABEBA
ADV   24.418964  54.673245  114.25 ;ABU DHABI
ADW   38.807220 -76.866256  113.10 ;ANDREWS CAMP SPRINGS
AEA   40.638167   8.291778  111.65 ;ALGHERO
AEL   43.681736 -93.370756  109.80 ;ALBERT LEA
AEX   31.256728 -92.500975  116.10 ;ALEXANDRIA
AFI   50.907778   4.138889  114.90 ;AFFLIGEM
AGC   40.278653 -80.040858  110.00 ;ALLEGHENY PITTSBURGH
AGG   27.150472  77.947806  112.00 ;AGRA
AGH   39.216222  22.791925  110.40 ;ANCHIALOS
AGJ   31.185506 -98.141858  112.50 ;GOOCH SPRINGS
AGN   43.888028   0.872861  114.80 ;AGEN
AGP   36.684333  -4.487333  117.15 ;MALAGA
AGU   21.711400-102.319047  113.60 ;AGUASCALIENTES
AGV  -29.481020  18.562492  116.70 ;AGGENEYS
AGV    9.552083 -69.237917  113.40 ;ACARIGUA
AGZ   47.930556  80.450278  113.60 ;AYAGUZ
AHC   40.267864-120.151967  109.00 ;AMEDEE HERLONG
AHN   33.947595 -83.324758  109.60 ;ATHENS
AHO   40.636056   8.289556  109.30 ;ALGHERO
AHR   34.206944  62.232778  116.20 ;HERAT
AHT   33.887428 130.649867  108.60 ;ASHIYA
AIA   42.055631-102.804442  111.80 ;ALLIANCE
AIR   40.017025 -80.817228  117.10 ;BELLAIRE
AJE   34.270303 134.712942  115.60 ;AWAJI
AJF   29.789528  40.071694  117.80 ;AL JOUF
AJO   41.770528   8.774667  114.80 ;AJACCIO
AKB   50.263056  57.183889  113.40 ;AKTOBE
AKE   32.480975 130.159619  113.45 ;AMAKUSA
AKI   38.820278  27.827222  110.20 ;AKHISAR
AKI   65.759722 -18.004167  113.60 ;AKUREYRI
AKN   58.724714-156.752347  112.80 ;KING SALMON
AKO   40.155553-103.179711  114.40 ;AKRON
AKR   34.579422  32.962884  116.00 ;AKROTIRI
AKT   34.528528 136.675167  112.05 ;AKENO
AKT   38.925914  20.762178  110.00 ;PREVEZA
AKT   43.858611  51.101944  113.30 ;AKTAU
AKW    4.895267   8.104942  113.80 ;AKWA IBOM
ALB   24.438695  54.446306  114.00 ;AL BATEEN ABU DHABI
ALB   42.747281 -73.803186  115.30 ;ALBANY
ALB   44.048167   8.127611  116.95 ;ALBENGA
ALC   28.443670 129.584067  115.50 ;AMAMI
ALD   25.092758  51.325856  115.20 ;AL UDEID
ALD   33.012494 -81.292233  116.70 ;ALLENDALE
ALE   36.179683  37.209378  114.50 ;ALEPPO
ALG   40.628139   8.243889  113.80 ;ALGHERO
ALH   25.443222  81.724317  113.30 ;ALLAHABAD
ALI   27.739800 -98.021342  114.50 ;ALICE
ALI   27.829306  78.178333  117.90 ;ALIGARH
ALI   31.986167  44.409000  114.70 ;AL NAJAF
ALM   35.191083  -3.841722  115.00 ;AL HOCEIMA
ALM   43.374445  77.085833  112.30 ;ALMATY
ALM   55.411306  13.557528  116.40 ;ALMA
ALN   24.259750  55.606361  112.60 ;AL AIN
ALO   42.556497 -92.398925  112.20 ;WATERLOO
ALR   36.690997   3.215481  112.50 ;DAR EL BEIDA
ALS   37.349158-105.815536  113.90 ;ALAMOSA
ALS   54.905414   9.993378  114.70 ;ALSIE
ALT   38.268278  -0.570111  113.80 ;ALICANTE
ALW   46.086975-118.292536  116.40 ;WALLA WALLA
ALX   40.853936  25.956734  113.80 ;ALEX ALEXANDROUPOLIS
AMB  -33.419722 -70.784445  116.10 ;SANTIAGO
AMB  -27.641528 152.716056  114.70 ;AMBERLEY
AMB   47.428917   1.064444  113.70 ;AMBOISE
AME   28.434717 129.711408  113.95 ;KASARI AMAMI
AMG   31.536556 -82.508089  115.10 ;ALMA
AMI   59.267167  24.246806  116.50 ;AMARI
AML   38.934597 -77.466695  113.50 ;ARMEL WASH.D.C.
AMN   -3.614920 128.186061  115.50 ;AMBON
AMN   32.004072  36.065989  116.30 ;MARKA
AMR   36.833167  -2.259417  114.10 ;ALMERIA
AMS   36.702111  67.211250  116.80 ;MAZAR-E SHARIF
AMS   52.332642   4.705658  113.95 ;AMSTERDAM
AMU   45.988611   5.331250  116.30 ;AMBERIEU
AMV   -1.285889 -78.546267  112.70 ;AMBATO
ANB   36.832445   7.814583  113.50 ;ANNABA
ANC   43.586445  13.471111  110.65 ;ANCONA
AND  -13.714167 -73.377778  114.30 ;ANDAHUAYLAS
AND   30.256667 121.221667  114.80 ;ANDONG
AND   69.287828  16.141381  112.20 ;ANDOYA
ANG   47.536861  -0.851834  113.00 ;ANGERS
ANK   33.537528  53.729667  112.70 ;ANARAK
ANL   39.214667  22.744667  115.60 ;NEA ANCHIALOS
ANN   55.060408-131.578400  117.10 ;ANNETTE ISLAND
ANT   51.190472   4.472583  113.50 ;ANTWERP DEURNE
ANU   17.125878 -61.800167  114.50 ;V.C. BIRD SAINT JOHNS
ANW   42.569111 -99.989681  112.70 ;AINSWORTH
ANX   39.095425 -94.128836  114.00 ;NAPOLEON
ANY   -6.974522 110.379983  115.20 ;SEMARANG
ANY   37.158981 -98.170775  112.90 ;ANTHONY
AOG   36.647861  -6.349056  108.60 ;ROTA
AOH   40.707097 -83.968153  108.40 ;ALLEN COUNTY LIMA
AOO   40.325445 -78.303706  108.80 ;ALTOONA
APE   40.151064 -82.588300  116.70 ;APPLETON
APN   19.637292 -98.398536  114.80 ;APAN
APN   45.082778 -83.557006  108.80 ;ALPENA
APO  -16.245367 -48.979089  116.80 ;ANAPOLIS
APU   25.176944 121.522222  112.50 ;ANBU TAIPEI
AQB   29.582928  35.008028  113.10 ;AQABA
ARA   38.158900  21.429200  112.70 ;ARAXOS
ARB   38.315695  48.434750  115.70 ;ARDABIL
ARD   21.227703  55.265039  116.90 ;ARADAH
ARD   40.253339 -74.907614  108.20 ;YARDLEY
ARD   46.184083  21.143611  109.00 ;ARAD
ARE   48.332639  -3.602472  112.50 ;MONTS DARREE
ARF   40.740000  30.062500  113.90 ;ARIFIYE
ARG  -16.631692 128.448756  113.90 ;ARGYLE
ARG   36.110019 -90.953695  114.50 ;WALNUT RIDGE
ARH   31.072911  33.831784  113.60 ;EL ARISH
ARH   31.585581-110.338983  111.60 ;FORT HUACHUCA
ARI  -18.369445 -70.346389  116.50 ;ARICA
ARI   34.986667  -3.029167  116.00 ;NADOR
ARI   39.645806  43.027083  116.70 ;AGRI
ARK   34.137194  49.853834  114.80 ;ARAK
ARK   50.318056  67.021667  113.00 ;ARKALYK
ARL   59.653445  17.914417  116.00 ;ARLANDA STOCKHOLM
ARS  -34.416531 137.893322  115.80 ;ARDROSSAN
ARS   59.586195  16.650389  112.80 ;AROS
ART   43.952134 -76.064622  109.80 ;WATERTOWN
ARU  -10.981925 -37.077353  115.40 ;CAJU ARACAJU
ARX  -19.689000 -47.060500  117.00 ;ARAXA UBERABA
AS   -23.792889 133.878203  115.90 ;ALICE SPRINGS
AS    16.974964   8.023231  113.50 ;AGADES
ASB   29.343950  47.518867  116.00 ;ALI AL SALEM
ASB   37.985000  58.351667  114.50 ;ASHGABAT
ASH   30.122778  38.798056  112.30 ;AL SHIGAR
ASI  -12.760639 -76.606475  115.30 ;ASIA
ASI   -7.969878 -14.397336  112.20 ;ASCENSION AUX
ASM   15.285000  38.901667  113.70 ;ASMARA
ASN   23.971778  32.816945  112.30 ;ASWAN
ASP   44.449128 -83.394283  116.10 ;AU SABLE OSCODA
AST   27.031178  31.032339  117.70 ;ASYUT
AST   46.161700-123.880378  114.00 ;ASTORIA
AST   46.281111  48.009167  116.10 ;ASTRAKHAN
AST   51.001111  71.434167  114.40 ;ASTANA
ASX   46.549411 -90.917253  110.20 ;ASHLAND
ATA   43.376111  77.084722  116.40 ;ALMATY
ATA   69.977581  23.371817  117.40 ;ALTA
ATE   38.286139  -0.586667  114.65 ;ALICANTE
ATF   -9.868364 -56.104928  113.40 ;ALTA FLORESTA
ATL   33.629072 -84.435072  116.90 ;ATLANTA
ATM   -3.249358 -52.247703  113.20 ;ALTAMIRA
ATR   38.809811 -75.211325  112.60 ;WATERLOO
ATR   47.143889  51.802778  112.30 ;ATYRAU
ATV   37.888678  23.804497  114.40 ;ATHENS
ATY   44.979636 -97.141786  116.60 ;WATERTOWN
AUA   26.471617  38.140631  114.90 ;AL ULA
AUC    7.067222 -70.731111  114.00 ;ARAUCA
AUG   44.320020 -69.796564  111.40 ;AUGUSTA
AUR   14.591108 -90.526325  114.50 ;LA AURORA GUAT. CITY
AUW   44.846778 -89.586578  111.60 ;WAUSAU
AV   -38.048894 144.458933  116.10 ;AVALON
AVD   47.058083   2.629861  110.60 ;AVORD
AVE   35.646978-119.978606  117.10 ;AVENAL
AVI   46.027872  12.586878  116.40 ;AVIANO
AVN   43.995361   4.746389  114.60 ;AVIGNON
AWE   43.667264 142.456847  113.50 ;ASAHIKAWA
AWK   19.286581 166.627333  113.50 ;WAKE I.
AWZ   31.337611  48.764333  114.00 ;AHWAZ
AXC   39.737522 -88.856431  117.20 ;ADDERS
AXM    4.460014 -75.765608  111.60 ;ARMENIA
AXN   45.958389 -95.232636  112.80 ;ALEXANDRIA
AY   -36.068056 146.966111  115.60 ;ALBURY
AYS   31.269425 -82.556445  110.20 ;WAYCROSS
AYT   36.920806  30.794472  114.00 ;ANTALYA
AZO   42.236983 -85.553153  109.00 ;KALAMAZOO
AZQ   37.391256 -83.263008  111.20 ;HAZARD
AZR   43.659722   7.224417  109.65 ;NICE
BAB   39.134794-121.440753  108.60 ;BEALE MARYSVILLE
BAC    5.522631  95.422220  113.40 ;BANDA ACEH
BAD   32.503342 -93.667775  115.80 ;BARKSDALE BOSSIER CITY
BAE   43.116853 -88.284345  116.40 ;BADGER MILWAUKEE
